,Volumetric flow rate (m3/h)
2021-05-10 02:05:10.588,43630.953125
2021-05-10 02:05:20.573,44025.6953125
2021-05-10 02:05:30.514,44051.3828125
2021-05-10 02:05:40.469,44428.59765625
2021-05-10 02:05:50.456,44198.01171875
2021-05-10 02:06:00.419,43994.69140625
2021-05-10 02:06:11.411,43428.2890625
2021-05-10 02:06:21.331,43757.11328125
2021-05-10 02:06:31.261,44020.96484375
2021-05-10 02:06:41.260,44246.8125
2021-05-10 02:06:51.688,44552.55078125
2021-05-10 02:07:02.637,44099.703125
2021-05-10 02:07:12.623,44617.32421875
2021-05-10 02:07:22.584,44055.71484375
2021-05-10 02:07:32.550,44030.58203125
2021-05-10 02:07:42.505,44033.72265625
2021-05-10 02:07:52.462,44573.5625
2021-05-10 02:08:02.447,44498.390625
2021-05-10 02:08:13.411,45066.28515625
2021-05-10 02:08:23.342,44218.44140625
2021-05-10 02:08:33.409,44195.34765625
2021-05-10 02:08:43.360,44456.765625
2021-05-10 02:08:53.709,44783.59375
2021-05-10 02:09:04.679,44614.640625
2021-05-10 02:09:14.640,44210.9609375
2021-05-10 02:09:24.592,44197.33984375
2021-05-10 02:09:34.556,45022.4375
2021-05-10 02:09:44.509,44375.9609375
2021-05-10 02:09:54.476,44532.4296875
2021-05-10 02:10:04.451,44936.01171875
2021-05-10 02:10:15.410,44563.75
2021-05-10 02:10:25.404,44913.421875
2021-05-10 02:10:35.330,44597.078125
2021-05-10 02:10:45.347,44993.83203125
2021-05-10 02:10:55.742,44972.75390625
2021-05-10 02:11:05.702,45086.171875
2021-05-10 02:11:16.667,44859.78125
2021-05-10 02:11:26.633,44731.70703125
2021-05-10 02:11:36.583,44620.98828125
2021-05-10 02:11:46.541,44488.9921875
2021-05-10 02:11:56.505,43312.91015625
2021-05-10 02:12:06.460,44046.515625
2021-05-10 02:12:16.454,45391.19921875
2021-05-10 02:12:27.427,44438.63671875
2021-05-10 02:12:37.354,44794.4140625
2021-05-10 02:12:47.342,44795.921875
2021-05-10 02:12:57.270,44617.5390625
2021-05-10 02:13:08.710,45466.5625
2021-05-10 02:13:18.667,45154.46484375
2021-05-10 02:13:28.637,44536.4765625
2021-05-10 02:13:38.587,45064.5234375
2021-05-10 02:13:48.546,44312.05859375
2021-05-10 02:13:58.516,45480.5703125
2021-05-10 02:14:08.483,45657.203125
2021-05-10 02:14:19.445,45910.5234375
2021-05-10 02:14:29.436,45214.47265625
2021-05-10 02:14:39.428,45275.390625
2021-05-10 02:14:49.356,44868.359375
2021-05-10 02:14:59.344,45922.3671875
2021-05-10 02:15:10.740,44535.09765625
2021-05-10 02:15:20.708,45126.73828125
2021-05-10 02:15:30.669,45704.30859375
2021-05-10 02:15:40.628,45894.234375
2021-05-10 02:15:50.582,45278.5859375
2021-05-10 02:16:00.542,45326.21484375
2021-05-10 02:16:10.508,44658.40625
2021-05-10 02:16:21.453,45688.78125
2021-05-10 02:16:31.415,45749.5625
2021-05-10 02:16:41.416,45258.29296875
2021-05-10 02:16:51.349,45208.8515625
2021-05-10 02:17:02.415,44912.04296875
2021-05-10 02:17:12.320,44493.984375
2021-05-10 02:17:22.710,45723.140625
2021-05-10 02:17:32.678,45914.16796875
2021-05-10 02:17:42.648,45675.9140625
2021-05-10 02:17:52.619,46337.7890625
2021-05-10 02:18:03.562,46114.16796875
2021-05-10 02:18:13.521,46505.87890625
2021-05-10 02:18:23.491,45445.5625
2021-05-10 02:18:33.456,45119.92578125
2021-05-10 02:18:43.430,46221.671875
2021-05-10 02:18:53.423,45900.66796875
2021-05-10 02:19:04.430,45892.86328125
2021-05-10 02:19:14.286,46309.890625
2021-05-10 02:19:24.767,46214.26953125
2021-05-10 02:19:34.712,46593.08984375
2021-05-10 02:19:44.659,46130.7734375
2021-05-10 02:19:54.618,45348.87109375
2021-05-10 02:20:04.580,45438.06640625
2021-05-10 02:20:15.537,45509.86328125
2021-05-10 02:20:25.509,45846.1015625
2021-05-10 02:20:35.460,46382.078125
2021-05-10 02:20:45.430,45696.88671875
2021-05-10 02:20:55.426,45692.2109375
2021-05-10 02:21:05.363,45911.01171875
2021-05-10 02:21:16.346,45714.87890625
2021-05-10 02:21:26.758,46643.54296875
2021-05-10 02:21:36.729,46416.50390625
2021-05-10 02:21:46.691,45771.765625
2021-05-10 02:21:57.642,45944.28515625
2021-05-10 02:22:07.285,46502.95703125
2021-05-10 02:22:17.285,46586.09375
2021-05-10 02:22:26.973,46218.59375
2021-05-10 02:22:36.940,46505.8203125
2021-05-10 02:22:46.893,46150.1015625
2021-05-10 02:22:56.863,46256.34765625
2021-05-10 02:23:07.825,46273.9140625
2021-05-10 02:23:18.284,46050.8984375
2021-05-10 02:23:28.286,46170.484375
2021-05-10 02:23:38.279,46377.13671875
2021-05-10 02:23:48.151,46492.09765625
2021-05-10 02:23:58.110,46380.6875
2021-05-10 02:24:09.091,46363.6328125
2021-05-10 02:24:19.038,46195.6015625
2021-05-10 02:24:28.986,46348.796875
2021-05-10 02:24:38.945,46156.98046875
2021-05-10 02:24:48.906,46235.3203125
2021-05-10 02:24:58.876,45994.89453125
2021-05-10 02:25:09.825,45642.44140625
2021-05-10 02:25:18.799,45937.2890625
2021-05-10 02:25:30.291,46062.96484375
2021-05-10 02:25:40.296,46045.26953125
2021-05-10 02:25:50.292,46230.2265625
2021-05-10 02:26:00.135,45526.453125
2021-05-10 02:26:11.091,46102.640625
2021-05-10 02:26:21.048,46014.94921875
2021-05-10 02:26:31.016,46057.48828125
2021-05-10 02:26:40.985,46522.53515625
2021-05-10 02:26:50.948,46618.95703125
2021-05-10 02:27:00.907,46390.21875
2021-05-10 02:27:11.859,45993.96484375
2021-05-10 02:27:21.833,46279.640625
2021-05-10 02:27:32.283,46278.87890625
2021-05-10 02:27:42.284,45800.796875
2021-05-10 02:27:52.277,46659.46875
2021-05-10 02:28:02.159,46049.94921875
2021-05-10 02:28:13.105,45989.62890625
2021-05-10 02:28:23.074,46624.765625
2021-05-10 02:28:33.017,46022.70703125
2021-05-10 02:28:43.002,46450.734375
2021-05-10 02:28:52.978,45890.0078125
2021-05-10 02:29:03.918,46197.2890625
2021-05-10 02:29:13.879,45745.703125
2021-05-10 02:29:23.846,45765.9453125
2021-05-10 02:29:34.300,46142.765625
2021-05-10 02:29:44.298,46904.16796875
2021-05-10 02:29:54.295,46720.28125
2021-05-10 02:30:04.292,45939.19140625
2021-05-10 02:30:15.135,46239.76171875
2021-05-10 02:30:25.110,46717.4453125
2021-05-10 02:30:35.074,46638.58203125
2021-05-10 02:30:45.018,46626.52734375
2021-05-10 02:30:54.975,45772.2578125
2021-05-10 02:31:05.924,46025.11328125
2021-05-10 02:31:15.896,45615.19921875
2021-05-10 02:31:25.855,45983.3046875
2021-05-10 02:31:35.815,46247.609375
2021-05-10 02:31:46.284,46360.01953125
2021-05-10 02:31:57.295,45947.859375
2021-05-10 02:32:07.291,45569.37109375
2021-05-10 02:32:17.155,45393.6640625
2021-05-10 02:32:27.101,45668.4765625
2021-05-10 02:32:37.080,45741.2890625
2021-05-10 02:32:47.040,45492.734375
2021-05-10 02:32:57.009,45921.16015625
2021-05-10 02:33:06.969,46382.5859375
2021-05-10 02:33:17.925,46297.375
2021-05-10 02:33:27.901,46128.0234375
2021-05-10 02:33:37.837,46098.07421875
2021-05-10 02:33:48.295,46052.99609375
2021-05-10 02:33:58.295,46549.86328125
2021-05-10 02:34:08.292,46247.89453125
2021-05-10 02:34:19.294,46443.09765625
2021-05-10 02:34:29.142,46276.765625
2021-05-10 02:34:39.111,46032.45703125
2021-05-10 02:34:49.049,46440.12109375
2021-05-10 02:34:59.018,45706.015625
2021-05-10 02:35:09.979,45592.82421875
2021-05-10 02:35:19.938,46184.2578125
2021-05-10 02:35:29.884,45837.73046875
2021-05-10 02:35:39.861,45388.40625
2021-05-10 02:35:50.357,45739.37890625
2021-05-10 02:36:01.287,46106.6875
2021-05-10 02:36:11.287,46207.9921875
2021-05-10 02:36:21.284,45540.23828125
2021-05-10 02:36:31.150,45635.83984375
2021-05-10 02:36:41.126,46654.1953125
2021-05-10 02:36:51.088,45492.8359375
2021-05-10 02:37:01.042,46126.33984375
2021-05-10 02:37:12.012,46751.8125
2021-05-10 02:37:21.958,45978.1484375
2021-05-10 02:37:31.922,46964.96875
2021-05-10 02:37:41.879,45734.4453125
2021-05-10 02:37:51.846,45733.16015625
2021-05-10 02:38:02.369,45648.26953125
2021-05-10 02:38:13.294,46252.90234375
